block,genome,chr/contig,start,end,orientation,length
978,NZ_OX366370,1,730727,732358,+,1631
977,NZ_OX366370,1,254544,255154,+,610
977,NZ_OX366370,1,727072,727682,+,610
976,NZ_OX366370,1,253174,254106,+,932
976,NZ_OX366370,1,725702,726634,+,932
975,NZ_OX366355,1,591965,592501,+,536
975,NZ_OX366381,1,862714,863250,+,536
975,NZ_OX366369,1,595134,595670,-,536
974,NZ_OX366355,1,590669,591589,+,920
974,NZ_OX366381,1,861418,862338,+,920
974,NZ_OX366369,1,596046,596967,-,921
973,NZ_OX366355,1,339326,340182,+,856
973,NZ_OX366381,1,841512,842368,-,856
972,NZ_OX366355,1,334782,335284,+,502
972,NZ_OX366381,1,845570,846072,-,502
971,NZ_OX366355,1,330453,331120,+,667
971,NZ_OX366381,1,849734,850362,-,628
971,NZ_OX366369,1,1074681,1075309,-,628
970,NZ_OX366355,1,328067,328832,+,765
970,NZ_OX366355,1,328878,329642,+,764
970,NZ_OX366355,1,329688,330452,+,764
970,NZ_OX366381,1,850364,851245,-,881
970,NZ_OX366381,1,851252,852094,-,842
970,NZ_OX366381,1,852101,852905,-,804
970,NZ_OX366369,1,1075311,1076112,-,801
969,NZ_OX366355,1,325321,328028,+,2707
969,NZ_OX366381,1,852906,855632,-,2726
969,NZ_OX366369,1,1076113,1078839,-,2726
968,NZ_OX366355,1,319742,321333,+,1591
968,NZ_OX366381,1,859620,861212,-,1592
968,NZ_OX366369,1,1082827,1084419,-,1592
967,NZ_OX366339,1,599640,600569,+,929
967,NZ_OX366396,1,888341,889270,+,929
966,NZ_OX366339,1,308447,309618,+,1171
966,NZ_OX366396,1,266163,267334,+,1171
966,NZ_OX366396,1,317800,318971,-,1171
966,NZ_OX366396,1,776162,777333,+,1171
966,NZ_OX366389,1,465963,467134,+,1171
965,NZ_OX366339,1,307078,308260,+,1182
965,NZ_OX366396,1,264719,265976,+,1257
965,NZ_OX366396,1,319159,320416,-,1257
965,NZ_OX366396,1,774719,775975,+,1256
965,NZ_OX366389,1,464519,465776,+,1257
964,NZ_OX366339,1,304402,306212,+,1810
964,NZ_OX366396,1,262043,263853,+,1810
964,NZ_OX366396,1,321282,323092,-,1810
964,NZ_OX366396,1,772882,774692,+,1810
964,NZ_OX366389,1,461842,463653,+,1811
963,NZ_OX366339,1,217041,218039,+,998
963,NZ_OX366395,1,1498199,1499195,+,996
963,NZ_OX366396,1,801637,802635,+,998
962,NZ_OX366339,1,150921,151488,+,567
962,NZ_OX366396,1,411519,412190,+,671
961,NZ_CP037426,1,644866,645374,+,508
961,NZ_OX366338,1,717406,717924,+,518
960,NZ_OX366326,1,1007828,1009233,+,1405
960,NZ_OX366351,1,923928,925333,+,1405
960,NZ_OX366357,1,336038,337460,+,1422
960,NZ_OX366357,1,1228625,1230047,+,1422
960,NZ_OX366389,1,1029913,1031315,+,1402
959,NZ_OX366326,1,1007071,1007824,+,753
959,NZ_OX366351,1,923171,923924,+,753
959,NZ_OX366357,1,335281,336034,+,753
959,NZ_OX366357,1,1227868,1228621,+,753
959,NZ_OX366389,1,1028234,1028987,+,753
958,NZ_OX366326,1,1005972,1007070,+,1098
958,NZ_OX366351,1,922072,923170,+,1098
958,NZ_OX366357,1,150863,151961,+,1098
958,NZ_OX366357,1,334182,335280,+,1098
958,NZ_OX366357,1,1226769,1227867,+,1098
958,NZ_OX366389,1,1027135,1028233,+,1098
957,NZ_OX366326,1,1003926,1005882,+,1956
957,NZ_OX366351,1,919175,921131,+,1956
957,NZ_OX366357,1,148810,150773,+,1963
957,NZ_OX366357,1,332129,334092,+,1963
957,NZ_OX366357,1,1224716,1226679,+,1963
957,NZ_OX366389,1,1025089,1027045,+,1956
956,NZ_OX366326,1,323367,323926,+,559
956,NZ_OX366351,1,863102,863663,-,561
956,NZ_OX366377,1,489815,490376,-,561
956,NZ_OX366389,1,988429,988990,-,561
955,NZ_OX366326,1,322510,323366,+,856
955,NZ_OX366351,1,863665,864520,-,855
955,NZ_OX366377,1,490378,491233,-,855
955,NZ_OX366398,1,20561,21417,+,856
955,NZ_OX366389,1,988992,989847,-,855
954,NZ_OX366326,1,319740,321047,+,1307
954,NZ_OX366351,1,865984,867290,-,1306
954,NZ_OX366377,1,492697,494003,-,1306
954,NZ_OX366398,1,17791,19098,+,1307
954,NZ_OX366389,1,991311,992617,-,1306
953,NZ_OX366367,1,783225,784331,+,1106
953,NZ_OX366339,1,340015,341120,+,1105
953,NZ_OX366396,1,1233283,1234387,-,1104
952,NZ_OX366367,1,401568,402274,+,706
952,NZ_OX366388,1,911392,912077,+,685
951,NZ_OX366367,1,399643,401043,+,1400
951,NZ_OX366367,1,520722,522121,+,1399
951,NZ_OX366355,1,626207,627606,-,1399
951,NZ_OX366355,1,677024,678424,-,1400
951,NZ_OX366388,1,459752,461152,-,1400
951,NZ_OX366357,1,220166,221544,-,1378
950,NZ_OX366367,1,355012,355653,+,641
950,NZ_OX366397,1,561761,562403,-,642
949,NZ_OX366367,1,328085,328933,+,848
949,NZ_OX366338,1,718443,719248,-,805
948,NZ_OX366367,1,327580,328083,+,503
948,NZ_OX366338,1,719657,720194,-,537
947,NZ_OX366327,1,929075,930642,+,1567
947,NZ_OX366388,1,375652,377219,-,1567
946,NZ_OX366327,1,319736,321372,+,1636
946,NZ_OX366327,1,397679,399315,+,1636
945,NZ_OX366362,1,1310840,1312056,+,1216
945,NZ_OX366395,1,1134758,1135984,-,1226
945,NZ_OX366357,1,1100164,1101389,-,1225
944,NZ_OX366362,1,1216714,1217369,+,655
944,NZ_OX366342,1,970744,971395,-,651
944,NZ_OX366342,1,1210994,1211638,+,644
944,NZ_OX366388,1,1414460,1415115,-,655
943,NZ_OX366362,1,1214980,1216113,+,1133
943,NZ_OX366342,1,971956,973090,-,1134
943,NZ_OX366342,1,1209292,1210425,+,1133
942,NZ_OX366362,1,1212869,1213937,+,1068
942,NZ_OX366342,1,1207181,1208249,+,1068
942,NZ_OX366388,1,1417489,1418537,-,1048
941,NZ_OX366362,1,1208543,1211207,+,2664
941,NZ_OX366342,1,1202809,1205469,+,2660
941,NZ_OX366388,1,1420249,1422919,-,2670
940,NZ_OX366362,1,1205346,1208515,+,3169
940,NZ_OX366342,1,1199636,1202781,+,3145
939,NZ_OX366362,1,1203788,1205001,+,1213
939,NZ_OX366342,1,973443,974655,-,1212
939,NZ_OX366342,1,1198078,1199291,+,1213
939,NZ_OX366388,1,1426520,1427742,-,1222
938,NZ_OX366362,1,1202747,1203300,+,553
938,NZ_OX366342,1,975144,975697,-,553
938,NZ_OX366342,1,1197037,1197590,+,553
938,NZ_OX366388,1,1428224,1428783,-,559
937,NZ_OX366362,1,1198487,1201782,+,3295
937,NZ_OX366342,1,976661,979946,-,3285
937,NZ_OX366342,1,1192787,1196072,+,3285
936,NZ_OX366362,1,1186302,1187987,+,1685
936,NZ_OX366395,1,1116146,1117833,-,1687
935,NZ_OX366362,1,955121,955896,+,775
935,NZ_OX366370,1,412094,412869,+,775
934,NZ_OX366362,1,916895,917623,+,728
934,NZ_OX366370,1,1220648,1221371,-,723
933,NZ_OX366362,1,656064,656890,+,826
933,NZ_OX366357,1,925147,925953,-,806
932,NZ_OX366362,1,547531,549008,+,1477
932,NZ_OX366370,1,381778,383254,-,1476
931,NZ_OX366362,1,401872,402693,+,821
931,NZ_OX366395,1,849568,850386,-,818
931,NZ_OX366388,1,19162,20001,-,839
931,NZ_OX366388,1,51981,52820,-,839
931,NZ_OX366388,1,80162,81001,-,839
931,NZ_OX366388,1,243814,244653,+,839
931,NZ_OX366388,1,289976,290815,-,839
931,NZ_OX366388,1,328989,329828,+,839
931,NZ_OX366388,1,341564,342403,-,839
931,NZ_OX366388,1,448167,449006,+,839
931,NZ_OX366388,1,458755,459594,-,839
931,NZ_OX366388,1,487269,488108,-,839
931,NZ_OX366388,1,535327,536166,-,839
931,NZ_OX366388,1,693083,693922,+,839
931,NZ_OX366388,1,778137,778976,+,839
931,NZ_OX366388,1,811317,812156,+,839
931,NZ_OX366388,1,857472,858311,+,839
931,NZ_OX366388,1,895379,896218,-,839
931,NZ_OX366388,1,1043511,1044350,+,839
931,NZ_OX366388,1,1090697,1091536,+,839
931,NZ_OX366388,1,1127657,1128496,-,839
931,NZ_OX366388,1,1222375,1223214,+,839
931,NZ_OX366388,1,1253748,1254587,+,839
931,NZ_OX366388,1,1281653,1282492,-,839
931,NZ_OX366388,1,1365188,1366027,-,839
931,NZ_OX366388,1,1577978,1578817,-,839
931,NZ_OX366388,1,1644580,1645419,-,839
931,NZ_OX366388,1,1661403,1662242,-,839
931,NZ_OX366388,1,1776884,1777723,+,839
930,NZ_OX366362,1,317705,318211,+,506
930,NZ_OX366395,1,1539569,1540077,-,508
929,NZ_OX366362,1,301582,302264,+,682
929,NZ_OX366362,1,363239,363921,-,682
929,NZ_OX366362,1,470226,470908,-,682
929,NZ_OX366362,1,472832,473514,+,682
929,NZ_OX366362,1,567925,568607,+,682
929,NZ_OX366362,1,631005,631687,+,682
929,NZ_OX366362,1,672631,673313,-,682
929,NZ_OX366362,1,829211,829893,+,682
929,NZ_OX366362,1,834020,834702,+,682
929,NZ_OX366362,1,903005,903687,+,682
929,NZ_OX366362,1,910434,911116,+,682
929,NZ_OX366362,1,948373,949055,+,682
929,NZ_OX366362,1,956276,956958,-,682
929,NZ_OX366362,1,964343,965025,-,682
929,NZ_OX366362,1,1077489,1078171,-,682
928,NZ_OX366362,1,190949,191884,+,935
928,NZ_OX366362,1,200170,201105,-,935
927,NZ_OX366362,1,13671,14442,+,771
927,NZ_OX366370,1,268187,268965,-,778
926,NZ_OX366352,1,924081,924809,+,728
926,NZ_OX366355,1,340228,340963,-,735
926,NZ_OX366381,1,840731,841466,+,735
925,NZ_OX366352,1,920968,923232,+,2264
925,NZ_OX366355,1,336355,338628,-,2273
925,NZ_OX366381,1,843065,845338,+,2273
924,NZ_OX366352,1,819321,820575,+,1254
924,NZ_OX366352,1,1365604,1366857,-,1253
924,NZ_OX366352,1,1411628,1412881,-,1253
924,NZ_OX366352,1,1614402,1615655,-,1253
923,NZ_OX366352,1,488670,489170,+,500
923,NZ_OX366352,1,790740,791240,+,500
923,NZ_OX366352,1,1073716,1074216,-,500
923,NZ_OX366352,1,1324724,1325224,-,500
923,NZ_OX366355,1,634566,635066,+,500
922,NZ_OX366352,1,487581,488421,+,840
922,NZ_OX366352,1,789651,790491,+,840
922,NZ_OX366352,1,1074466,1075306,-,840
922,NZ_OX366352,1,1325474,1326314,-,840
922,NZ_OX366355,1,633477,634317,+,840
921,NZ_OX366352,1,86962,87574,+,612
921,NZ_OX366352,1,897691,898303,+,612
920,NZ_OX366344,1,133367,133936,+,569
920,NZ_OX366352,1,83449,84018,+,569
920,NZ_OX366352,1,894178,894747,+,569
920,NZ_CP037426,1,387677,388247,-,570
920,NZ_OX366396,1,729218,729802,-,584
919,NZ_OX366344,1,131654,132459,+,805
919,NZ_OX366352,1,81749,82554,+,805
919,NZ_OX366352,1,892478,893283,+,805
919,NZ_CP037426,1,389148,389948,-,800
919,NZ_OX366397,1,638895,639700,+,805
918,NZ_OX366344,1,71215,71743,+,528
918,NZ_OX366370,1,259832,260351,+,519
918,NZ_OX366370,1,732360,732879,+,519
917,NZ_OX366380,1,1302516,1303671,+,1155
917,NZ_OX366385,1,83847,85003,-,1156
916,NZ_OX366380,1,1301612,1302129,+,517
916,NZ_OX366362,1,51496,52013,-,517
916,NZ_OX366385,1,85390,85907,-,517
916,NZ_OX366374,1,194884,195400,+,516
915,NZ_OX366380,1,1257243,1258085,+,842
915,NZ_OX366385,1,1159004,1159847,-,843
915,NZ_OX366395,1,64209,65052,-,843
915,NZ_OX366357,1,820113,820956,-,843
914,NZ_OX366380,1,1107358,1107962,+,604
914,NZ_OX366385,1,655436,656040,-,604
913,NZ_OX366380,1,1008129,1009031,+,902
913,NZ_OX366385,1,1130913,1131914,-,1001
912,NZ_OX366380,1,1006686,1007603,+,917
912,NZ_OX366385,1,1132008,1133171,-,1163
911,NZ_OX366380,1,992805,995475,+,2670
911,NZ_OX366380,1,1023995,1026665,-,2670
911,NZ_CP037426,1,448514,451182,-,2668
911,NZ_OX366385,1,436220,438864,-,2644
910,NZ_OX366380,1,992018,992562,+,544
910,NZ_OX366380,1,1026907,1027451,-,544
910,NZ_OX366362,1,1049989,1050601,+,612
910,NZ_OX366385,1,425439,425983,+,544
909,NZ_OX366380,1,990897,991610,+,713
909,NZ_OX366380,1,1027860,1028573,-,713
909,NZ_OX366362,1,1048894,1049593,+,699
909,NZ_OX366385,1,424341,425031,+,690
909,NZ_OX366389,1,1035634,1036298,-,664
909,NZ_OX366348,1,656190,656854,-,664
909,NZ_CP054557,1,265532,266195,-,663
908,NZ_OX366380,1,878604,879189,+,585
908,NZ_OX366385,1,460609,461210,-,601
908,NZ_OX366357,1,465364,465952,-,588
907,NZ_OX366380,1,672874,673435,+,561
907,NZ_OX366327,1,663556,664133,+,577
907,NZ_OX366370,1,642690,643244,-,554
907,NZ_OX366385,1,352856,353417,-,561
907,NZ_OX366374,1,778870,779447,+,577
907,NZ_OX366338,1,517917,518492,+,575
906,NZ_OX366380,1,539054,539773,+,719
906,NZ_OX366385,1,697232,697951,+,719
905,NZ_OX366380,1,509369,510017,+,648
905,NZ_OX366385,1,723719,724368,-,649
904,NZ_OX366380,1,278179,278770,+,591
904,NZ_OX366385,1,248857,249454,+,597
903,NZ_OX366380,1,257709,258526,+,817
903,NZ_OX366385,1,227265,228078,+,813
902,NZ_OX366380,1,42010,42746,+,736
902,NZ_OX366380,1,49457,50194,-,737
902,NZ_OX366385,1,775045,775780,+,735
902,NZ_OX366385,1,782318,783054,-,736
901,NZ_OX366349,1,1377375,1377889,+,514
901,NZ_OX366344,1,15796,16301,+,505
900,NZ_OX366349,1,1069734,1070326,+,592
900,NZ_OX366349,1,1563226,1563818,+,592
899,NZ_OX366349,1,1052896,1053397,+,501
899,NZ_OX366369,1,1040191,1040692,+,501
898,NZ_OX366349,1,1005999,1006542,+,543
898,NZ_OX366367,1,493749,494277,-,528
897,NZ_OX366349,1,1004726,1005243,+,517
897,NZ_OX366367,1,495057,495612,-,555
896,NZ_OX366349,1,1002700,1003570,+,870
896,NZ_OX366367,1,497038,497952,-,914
895,NZ_OX366349,1,1000558,1001266,+,708
895,NZ_OX366349,1,1001986,1002699,+,713
895,NZ_OX366367,1,497954,498639,-,685
895,NZ_OX366367,1,499378,500062,-,684
894,NZ_OX366349,1,996759,1000237,+,3478
894,NZ_OX366367,1,500383,503860,-,3477
893,NZ_OX366349,1,983864,984398,+,534
893,NZ_OX366344,1,886675,887209,-,534
893,NZ_OX366399,1,600614,601148,-,534
892,NZ_OX366349,1,966412,967230,+,818
892,NZ_OX366344,1,1314159,1314975,-,816
891,NZ_OX366349,1,865761,866275,+,514
891,NZ_OX366349,1,1190776,1191290,+,514
890,NZ_OX366349,1,750865,751587,+,722
890,NZ_OX366349,1,1515625,1516347,-,722
890,NZ_OX366339,1,507601,508331,-,730
889,NZ_OX366349,1,745411,748626,+,3215
889,NZ_OX366349,1,1518585,1521801,-,3216
888,NZ_OX366349,1,721263,722001,+,738
888,NZ_OX366344,1,231560,232293,-,733
887,NZ_OX366349,1,667890,668416,+,526
887,NZ_OX366344,1,364337,364863,+,526
887,NZ_OX366370,1,129526,130052,-,526
886,NZ_OX366349,1,403606,404866,+,1260
886,NZ_OX366344,1,1257298,1258525,+,1227
885,NZ_OX366349,1,112375,112895,+,520
885,NZ_OX366349,1,183190,183710,+,520
885,NZ_OX366349,1,734229,734749,-,520
885,NZ_OX366349,1,894239,894759,-,520
885,NZ_OX366349,1,978770,979290,+,520
885,NZ_OX366349,1,1551635,1552155,+,520
884,NZ_OX366349,1,16237,16855,+,618
884,NZ_OX366349,1,20594,21253,-,659
883,NZ_OX366359,1,701082,701844,+,762
883,NZ_OX366355,1,332975,333763,-,788
883,NZ_OX366381,1,847092,847879,+,787
883,NZ_CP069055,1,257996,258749,+,753
882,NZ_OX366364,1,1247107,1247897,+,790
882,NZ_OX366367,1,1100261,1101051,+,790
881,NZ_OX366364,1,1215527,1216436,+,909
881,NZ_OX366367,1,1506277,1507186,-,909
880,NZ_OX366364,1,1119287,1119823,+,536
880,NZ_OX366367,1,185590,186125,-,535
879,NZ_OX366364,1,1049564,1050080,+,516
879,NZ_OX366367,1,254194,254711,-,517
878,NZ_OX366364,1,991179,992535,+,1356
878,NZ_OX366362,1,1188901,1190256,+,1355
878,NZ_OX366367,1,562058,563413,-,1355
878,NZ_OX366395,1,1114315,1115669,-,1354
877,NZ_OX366364,1,854225,855153,+,928
877,NZ_OX366362,1,984783,985787,-,1004
877,NZ_OX366367,1,708937,709932,-,995
876,NZ_OX366364,1,832303,832826,+,523
876,NZ_OX366349,1,485047,485573,+,526
876,NZ_OX366367,1,731779,732300,-,521
875,NZ_OX366364,1,831720,832301,+,581
875,NZ_OX366367,1,732301,732882,-,581
874,NZ_OX366364,1,825299,825924,+,625
874,NZ_OX366362,1,1020907,1021609,-,702
873,NZ_OX366364,1,818709,819306,+,597
873,NZ_OX366367,1,743592,744178,-,586
872,NZ_OX366364,1,755797,756381,+,584
872,NZ_OX366367,1,804300,804885,-,585
872,NZ_OX366338,1,1053811,1054394,-,583
871,NZ_OX366364,1,754110,754944,+,834
871,NZ_OX366367,1,805735,806577,-,842
871,NZ_OX366338,1,1056168,1057011,-,843
870,NZ_OX366364,1,735561,736249,+,688
870,NZ_OX366349,1,58953,59640,-,687
870,NZ_OX366344,1,1048969,1049656,-,687
870,NZ_OX366367,1,824369,825056,-,687
870,NZ_OX366370,1,1045478,1046166,+,688
869,NZ_OX366364,1,726089,726728,+,639
869,NZ_OX366367,1,835382,836012,-,630
868,NZ_OX366364,1,722814,723766,+,952
868,NZ_OX366364,1,723879,724865,+,986
868,NZ_OX366367,1,837237,838215,-,978
867,NZ_OX366364,1,489242,489851,+,609
867,NZ_OX366362,1,1380366,1380975,+,609
866,NZ_OX366364,1,471649,472423,+,774
866,NZ_OX366367,1,1479531,1480307,+,776
865,NZ_OX366364,1,462527,463342,+,815
865,NZ_OX366367,1,1288110,1288929,+,819
864,NZ_OX366364,1,219975,221441,+,1466
864,NZ_OX366344,1,972265,973715,+,1450
864,NZ_OX366367,1,1395969,1397442,+,1473
863,NZ_OX366364,1,219426,219973,+,547
863,NZ_OX366367,1,1395421,1395967,+,546
862,NZ_OX366364,1,217531,218361,+,830
862,NZ_OX366367,1,1393526,1394356,+,830
861,NZ_OX366364,1,130517,131274,+,757
861,NZ_OX366367,1,1423712,1424478,-,766
860,NZ_OX366364,1,76044,76818,+,774
860,NZ_OX366367,1,1478500,1479275,-,775
859,NZ_OX366364,1,56466,57002,+,536
859,NZ_OX366364,1,731843,732379,+,536
859,NZ_OX366364,1,1031057,1031592,-,535
859,NZ_OX366367,1,829721,830257,-,536
859,NZ_OX366367,1,1173857,1174393,-,536
859,NZ_OX366367,1,1341329,1341866,+,537
858,NZ_OX366364,1,44070,45563,+,1493
858,NZ_OX366367,1,1328386,1330077,+,1691
858,NZ_OX366374,1,378047,379541,+,1494
858,NZ_OX366338,1,117438,118926,+,1488
857,NZ_OX366363,1,538198,539129,+,931
857,NZ_OX366327,1,533269,534194,-,925
856,NZ_OX366363,1,537204,538076,+,872
856,NZ_OX366327,1,534316,535188,-,872
855,NZ_OX366363,1,394972,398902,+,3930
855,NZ_OX366396,1,919134,923063,-,3929
855,NZ_OX366396,1,1147840,1151770,+,3930
855,NZ_OX366377,1,707228,711146,+,3918
855,NZ_OX366398,1,1241127,1245044,-,3917
854,NZ_OX366363,1,30296,31346,+,1050
854,NZ_OX366352,1,1352457,1353507,+,1050
854,NZ_OX366381,1,475165,476215,+,1050
854,NZ_OX366381,1,803374,804425,-,1051
853,NZ_OX366363,1,28108,29325,+,1217
853,NZ_OX366352,1,1350274,1351486,+,1212
853,NZ_OX366362,1,1130356,1131596,+,1240
853,NZ_OX366381,1,472982,474194,+,1212
853,NZ_OX366381,1,805395,806607,-,1212
852,NZ_OX366363,1,16149,16971,+,822
852,NZ_OX366370,1,70952,71783,+,831
851,NZ_OX366363,1,13395,14417,+,1022
851,NZ_OX366395,1,152879,153915,-,1036
851,NZ_OX366395,1,487665,488678,+,1013
850,NZ_OX366363,1,12599,13393,+,794
850,NZ_OX366395,1,153916,154711,-,795
849,NZ_OU909470,1,1435838,1436627,+,789
849,NZ_OX366380,1,960322,961115,+,793
849,NZ_OX366385,1,794369,795158,+,789
848,NZ_OU909470,1,1375260,1375801,+,541
848,NZ_OX366380,1,555834,556411,+,577
848,NZ_OX366385,1,902948,903525,-,577
847,NZ_OU909470,1,1330820,1331356,+,536
847,NZ_OX366380,1,821851,822387,+,536
847,NZ_OX366339,1,1253371,1253907,+,536
847,NZ_OX366396,1,226293,226829,+,536
846,NZ_OU909470,1,1310877,1311594,+,717
846,NZ_OX366380,1,697759,698475,-,716
846,NZ_OX366385,1,1077744,1078461,+,717
845,NZ_OU909470,1,1280250,1281138,+,888
845,NZ_OX366380,1,988347,989237,+,890
845,NZ_OX366385,1,822309,823198,+,889
844,NZ_OU909470,1,1247264,1247912,+,648
844,NZ_OX366380,1,941720,942367,-,647
844,NZ_OX366385,1,871042,871690,+,648
843,NZ_OU909470,1,1204902,1205664,+,762
843,NZ_OX366395,1,729035,729812,+,777
842,NZ_OU909470,1,1197635,1199089,+,1454
842,NZ_OU909470,1,1347551,1349039,+,1488
841,NZ_OU909470,1,1144237,1144770,+,533
841,NZ_OX366327,1,396435,396974,+,539
841,NZ_OX366338,1,111027,111566,-,539
840,NZ_OU909470,1,1123747,1124343,+,596
840,NZ_OX366349,1,1007608,1008202,-,594
840,NZ_OX366367,1,492090,492683,+,593
839,NZ_OU909470,1,997607,999129,+,1522
839,NZ_OU909470,1,1005372,1006894,+,1522
838,NZ_OU909470,1,900304,901229,+,925
838,NZ_OX366380,1,880579,881505,-,926
838,NZ_OX366344,1,407650,408510,+,860
838,NZ_OX366385,1,458294,459220,+,926
837,NZ_OU909470,1,845294,845940,+,646
837,NZ_OX366349,1,17564,18210,-,646
836,NZ_OU909470,1,844175,844724,+,549
836,NZ_OX366362,1,804348,804881,-,533
835,NZ_OU909470,1,820938,821913,+,975
835,NZ_OX366364,1,215204,216174,+,970
835,NZ_OX366380,1,1241488,1242463,-,975
835,NZ_OX366367,1,1391136,1392100,+,964
835,NZ_OX366370,1,1061444,1062419,-,975
835,NZ_OX366385,1,1178462,1179437,-,975
834,NZ_OU909470,1,703305,703834,+,529
834,NZ_OX366364,1,308525,309056,-,531
834,NZ_OX366367,1,924002,924533,-,531
833,NZ_OU909470,1,621266,621779,+,513
833,NZ_OX366380,1,224205,224718,+,513
833,NZ_OX366370,1,452453,452966,+,513
833,NZ_OX366385,1,633083,633596,-,513
832,NZ_OU909470,1,564378,565131,+,753
832,NZ_OX366380,1,1138863,1139609,+,746
832,NZ_OX366385,1,563607,564360,+,753
831,NZ_OU909470,1,503651,505111,+,1460
831,NZ_OU909470,1,841409,842869,+,1460
831,NZ_OU909470,1,1372075,1373531,+,1456
830,NZ_OU909470,1,503116,503649,+,533
830,NZ_OU909470,1,840873,841407,+,534
829,NZ_OU909470,1,476346,476971,+,625
829,NZ_OX366380,1,361342,361967,+,625
828,NZ_OU909470,1,463106,464450,+,1344
828,NZ_OU909470,1,1126737,1128081,+,1344
827,NZ_OU909470,1,461847,462356,+,509
827,NZ_OU909470,1,1125478,1125987,+,509
826,NZ_OU909470,1,460719,461808,+,1089
826,NZ_OU909470,1,1124345,1125439,+,1094
826,NZ_OX366349,1,1006544,1007607,-,1063
826,NZ_OX366367,1,492685,493748,+,1063
825,NZ_OU909470,1,363354,364026,+,672
825,NZ_OU909470,1,365505,366178,-,673
824,NZ_OU909470,1,361620,362265,+,645
824,NZ_OU909470,1,367266,367911,-,645
823,NZ_OU909470,1,335399,336214,+,815
823,NZ_OX366349,1,21520,22352,+,832
822,NZ_OU909470,1,294636,295161,+,525
822,NZ_OX366380,1,604455,604971,-,516
822,NZ_OX366385,1,208543,209054,+,511
821,NZ_OU909470,1,249518,250049,+,531
821,NZ_OX366380,1,649258,649789,-,531
821,NZ_OX366385,1,909534,910065,+,531
