block,genome,chr/contig,start,end,orientation,length
827,WOLB.0323.00012,1,612108,612612,+,504
827,WOLB.0323.00104,1,559781,560285,+,504
827,WOLB.0323.00100,1,866786,867290,+,504
826,WOLB.0323.00088,1,606854,607877,+,1023
826,WOLB.0323.00020,1,540399,541422,+,1023
826,WOLB.0323.00035,1,541969,542992,+,1023
826,WOLB.0323.00012,1,610958,611981,+,1023
826,WOLB.0323.00104,1,558631,559654,+,1023
826,WOLB.0323.00100,1,865636,866659,+,1023
825,WOLB.0323.00093,1,1509002,1510653,+,1651
825,WOLB.0323.00024,1,861435,863077,-,1642
825,WOLB.0323.00024,1,1705676,1707315,+,1639
824,WOLB.0323.00093,1,1508309,1509000,+,691
824,WOLB.0323.00024,1,863078,863769,-,691
823,WOLB.0323.00093,1,1489861,1490395,+,534
823,WOLB.0323.00043,1,730552,731086,+,534
823,WOLB.0323.00010,1,534964,535497,+,533
823,WOLB.0323.00007,1,1135049,1135583,+,534
823,WOLB.0323.00042,1,975415,975949,+,534
823,WOLB.0323.00042,1,1180900,1181434,-,534
823,WOLB.0323.00042,1,1549195,1549729,-,534
823,WOLB.0323.00042,1,1698936,1699470,-,534
822,WOLB.0323.00093,1,1447433,1448520,+,1087
822,WOLB.0323.00133,1,71626,72713,-,1087
821,WOLB.0323.00093,1,1402291,1402881,+,590
821,WOLB.0323.00006,1,119860,120421,-,561
820,WOLB.0323.00093,1,1400990,1401714,+,724
820,WOLB.0323.00006,1,120815,121525,-,710
819,WOLB.0323.00093,1,1371725,1372752,+,1027
819,WOLB.0323.00118,1,798880,799907,+,1027
818,WOLB.0323.00093,1,950836,952927,+,2091
818,WOLB.0323.00008,1,466615,468723,+,2108
817,WOLB.0323.00093,1,921459,922845,+,1386
817,WOLB.0323.00008,1,243200,244688,-,1488
816,WOLB.0323.00093,1,888786,889643,+,857
816,WOLB.0323.00008,1,870142,871005,-,863
815,WOLB.0323.00093,1,883226,884085,+,859
815,WOLB.0323.00008,1,877393,878251,-,858
814,WOLB.0323.00093,1,856165,856869,+,704
814,WOLB.0323.00093,1,954226,954930,+,704
813,WOLB.0323.00093,1,823672,824723,+,1051
813,WOLB.0323.00008,1,927575,928636,+,1061
812,WOLB.0323.00093,1,746578,747336,+,758
812,WOLB.0323.00008,1,598671,599420,+,749
811,WOLB.0323.00093,1,663553,664242,+,689
811,WOLB.0323.00008,1,440900,441588,-,688
810,WOLB.0323.00093,1,212260,212847,+,587
810,WOLB.0323.00093,1,458244,458830,-,586
809,WOLB.0323.00093,1,204682,205427,+,745
809,WOLB.0323.00093,1,464444,465189,-,745
808,WOLB.0323.00093,1,202336,202856,+,520
808,WOLB.0323.00093,1,467021,467548,-,527
807,WOLB.0323.00093,1,85022,85951,+,929
807,WOLB.0323.00093,1,99118,100047,-,929
807,WOLB.0323.00093,1,473986,474915,+,929
807,WOLB.0323.00093,1,753059,753988,-,929
807,WOLB.0323.00093,1,854002,854931,-,929
807,WOLB.0323.00093,1,926190,927119,-,929
807,WOLB.0323.00093,1,1154445,1155374,-,929
807,WOLB.0323.00093,1,1314719,1315648,-,929
807,WOLB.0323.00093,1,1556391,1557320,+,929
807,WOLB.0323.00093,1,1563266,1564195,-,929
807,WOLB.0323.00093,1,1695800,1696729,-,929
807,WOLB.0323.00024,1,317667,318596,+,929
807,WOLB.0323.00024,1,415939,416868,-,929
807,WOLB.0323.00024,1,1263602,1264531,+,929
807,WOLB.0323.00024,1,1416239,1417168,+,929
806,WOLB.0323.00093,1,83879,85020,+,1141
806,WOLB.0323.00093,1,100048,101187,-,1139
806,WOLB.0323.00093,1,472843,473984,+,1141
806,WOLB.0323.00093,1,753989,755128,-,1139
806,WOLB.0323.00093,1,854932,856074,-,1142
806,WOLB.0323.00093,1,927120,928262,-,1142
806,WOLB.0323.00093,1,1155375,1156517,-,1142
806,WOLB.0323.00093,1,1315649,1316791,-,1142
806,WOLB.0323.00093,1,1555248,1556389,+,1141
806,WOLB.0323.00093,1,1564196,1565338,-,1142
806,WOLB.0323.00093,1,1696730,1697869,-,1139
806,WOLB.0323.00024,1,315405,316554,+,1149
806,WOLB.0323.00024,1,416869,418003,-,1134
806,WOLB.0323.00024,1,1262460,1263600,+,1140
806,WOLB.0323.00024,1,1415097,1416237,+,1140
805,WOLB.0323.00153,1,551884,552607,+,723
805,WOLB.0323.00014,1,895281,896003,-,722
805,WOLB.0323.00014,1,1085642,1086364,-,722
804,WOLB.0323.00153,1,547913,550058,+,2145
804,WOLB.0323.00014,1,897830,899974,-,2144
803,WOLB.0323.00153,1,545792,547912,+,2120
803,WOLB.0323.00043,1,1172342,1174505,-,2163
803,WOLB.0323.00014,1,899976,902096,-,2120
802,WOLB.0323.00153,1,544011,544804,+,793
802,WOLB.0323.00043,1,1175444,1176179,-,735
802,WOLB.0323.00014,1,903083,903877,-,794
801,WOLB.0323.00153,1,542943,543845,+,902
801,WOLB.0323.00043,1,1176364,1177351,-,987
801,WOLB.0323.00014,1,904043,904945,-,902
800,WOLB.0323.00023,1,1698836,1699749,+,913
800,WOLB.0323.00153,1,505667,506577,+,910
800,WOLB.0323.00064,1,417984,418891,+,907
800,WOLB.0323.00084,1,226430,227340,+,910
800,WOLB.0323.00043,1,966153,967065,-,912
800,WOLB.0323.00122,1,1086545,1087457,-,912
800,WOLB.0323.00104,1,460843,461753,+,910
800,WOLB.0323.00070,1,872227,873138,+,911
799,WOLB.0323.00023,1,1690725,1692982,+,2257
799,WOLB.0323.00153,1,500664,502923,+,2259
799,WOLB.0323.00064,1,412843,415102,+,2259
799,WOLB.0323.00084,1,221432,223689,+,2257
799,WOLB.0323.00043,1,969827,972082,-,2255
799,WOLB.0323.00122,1,1091459,1093716,-,2257
799,WOLB.0323.00104,1,455845,458101,+,2256
798,WOLB.0323.00023,1,1598347,1599040,+,693
798,WOLB.0323.00084,1,147659,148243,-,584
797,WOLB.0323.00023,1,1596023,1597351,+,1328
797,WOLB.0323.00084,1,149239,150567,-,1328
796,WOLB.0323.00023,1,1586945,1588599,+,1654
796,WOLB.0323.00010,1,851519,853160,-,1641
795,WOLB.0323.00023,1,1584521,1585111,+,590
795,WOLB.0323.00093,1,1576372,1576962,+,590
794,WOLB.0323.00023,1,1583641,1584303,+,662
794,WOLB.0323.00093,1,1575459,1576129,+,670
793,WOLB.0323.00023,1,1512338,1512863,+,525
793,WOLB.0323.00021,1,366501,367050,-,549
793,WOLB.0323.00068,1,1207799,1208348,+,549
793,WOLB.0323.00042,1,1159423,1159972,+,549
792,WOLB.0323.00023,1,1471622,1472335,+,713
792,WOLB.0323.00023,1,1561702,1562410,+,708
791,WOLB.0323.00023,1,1464333,1470464,+,6131
791,WOLB.0323.00128,1,661282,667436,-,6154
790,WOLB.0323.00023,1,1230563,1231071,+,508
790,WOLB.0323.00021,1,289108,289616,-,508
790,WOLB.0323.00070,1,337344,337852,+,508
789,WOLB.0323.00023,1,1229225,1229749,+,524
789,WOLB.0323.00021,1,290430,290955,-,525
789,WOLB.0323.00070,1,336006,336530,+,524
788,WOLB.0323.00023,1,1228155,1229223,+,1068
788,WOLB.0323.00021,1,292442,293509,-,1067
788,WOLB.0323.00070,1,333452,334518,+,1066
787,WOLB.0323.00023,1,1227326,1227987,+,661
787,WOLB.0323.00021,1,293676,294337,-,661
787,WOLB.0323.00070,1,332623,333284,+,661
786,WOLB.0323.00023,1,1225332,1227057,+,1725
786,WOLB.0323.00021,1,294606,296332,-,1726
786,WOLB.0323.00070,1,330629,332354,+,1725
785,WOLB.0323.00023,1,1224331,1225139,+,808
785,WOLB.0323.00021,1,296525,297333,-,808
785,WOLB.0323.00070,1,329627,330436,+,809
784,WOLB.0323.00023,1,1223616,1224172,+,556
784,WOLB.0323.00021,1,297492,298048,-,556
784,WOLB.0323.00070,1,328912,329468,+,556
783,WOLB.0323.00023,1,1222348,1223139,+,791
783,WOLB.0323.00024,1,11034,11827,+,793
783,WOLB.0323.00024,1,64297,65090,+,793
783,WOLB.0323.00024,1,71096,71889,+,793
783,WOLB.0323.00024,1,95046,95839,+,793
783,WOLB.0323.00024,1,108772,109563,+,791
783,WOLB.0323.00024,1,151945,152739,-,794
783,WOLB.0323.00024,1,185541,186334,+,793
783,WOLB.0323.00024,1,212532,213324,+,792
783,WOLB.0323.00024,1,244815,245609,-,794
783,WOLB.0323.00024,1,253189,253983,-,794
783,WOLB.0323.00024,1,269068,269861,+,793
783,WOLB.0323.00024,1,387288,388081,+,793
783,WOLB.0323.00024,1,397214,398005,+,791
783,WOLB.0323.00024,1,408300,409094,-,794
783,WOLB.0323.00024,1,446107,446898,-,791
783,WOLB.0323.00024,1,456675,457468,+,793
783,WOLB.0323.00024,1,515689,516480,+,791
783,WOLB.0323.00024,1,573439,574230,+,791
783,WOLB.0323.00024,1,597847,598638,+,791
783,WOLB.0323.00024,1,613278,614070,-,792
783,WOLB.0323.00024,1,632207,632999,-,792
783,WOLB.0323.00024,1,647063,647854,+,791
783,WOLB.0323.00024,1,654185,654979,-,794
783,WOLB.0323.00024,1,666782,667576,-,794
783,WOLB.0323.00024,1,681331,682123,-,792
783,WOLB.0323.00024,1,703848,704642,-,794
783,WOLB.0323.00024,1,767890,768681,+,791
783,WOLB.0323.00024,1,828798,829590,-,792
783,WOLB.0323.00024,1,872707,873499,-,792
783,WOLB.0323.00024,1,967758,968552,-,794
783,WOLB.0323.00024,1,992822,993615,+,793
783,WOLB.0323.00024,1,995468,996262,-,794
783,WOLB.0323.00024,1,1040131,1040922,+,791
783,WOLB.0323.00024,1,1076138,1076930,-,792
783,WOLB.0323.00024,1,1082312,1083106,-,794
783,WOLB.0323.00024,1,1169619,1170411,-,792
783,WOLB.0323.00024,1,1217600,1218392,-,792
783,WOLB.0323.00024,1,1242166,1242959,+,793
783,WOLB.0323.00024,1,1395981,1396775,-,794
783,WOLB.0323.00024,1,1396973,1397735,+,762
783,WOLB.0323.00024,1,1450873,1451666,+,793
783,WOLB.0323.00024,1,1499252,1500045,+,793
783,WOLB.0323.00024,1,1514980,1515773,+,793
783,WOLB.0323.00024,1,1665692,1666486,-,794
783,WOLB.0323.00024,1,1699420,1700213,+,793
783,WOLB.0323.00024,1,1802534,1803328,-,794
783,WOLB.0323.00024,1,1813847,1814639,-,792
783,WOLB.0323.00024,1,1822501,1823295,-,794
783,WOLB.0323.00024,1,1864919,1865713,-,794
783,WOLB.0323.00024,1,1904924,1905718,-,794
783,WOLB.0323.00024,1,1910728,1911521,+,793
783,WOLB.0323.00024,1,1941733,1942527,-,794
783,WOLB.0323.00024,1,1980430,1981224,-,794
783,WOLB.0323.00024,1,1983421,1984214,+,793
783,WOLB.0323.00024,1,2016960,2017753,+,793
783,WOLB.0323.00021,1,298525,299317,-,792
783,WOLB.0323.00070,1,327644,328435,+,791
782,WOLB.0323.00023,1,1220735,1221884,+,1149
782,WOLB.0323.00021,1,299780,300929,-,1149
782,WOLB.0323.00070,1,326031,327180,+,1149
781,WOLB.0323.00023,1,1216922,1219508,+,2586
781,WOLB.0323.00021,1,302156,304743,-,2587
781,WOLB.0323.00070,1,322216,324804,+,2588
780,WOLB.0323.00023,1,1214282,1215347,+,1065
780,WOLB.0323.00021,1,304744,305810,-,1066
780,WOLB.0323.00070,1,321149,322214,+,1065
779,WOLB.0323.00023,1,1183312,1184408,+,1096
779,WOLB.0323.00093,1,174784,175880,+,1096
779,WOLB.0323.00024,1,1603573,1604669,+,1096
779,WOLB.0323.00021,1,335654,336750,-,1096
779,WOLB.0323.00070,1,708141,709261,+,1120
779,WOLB.0323.00014,1,948812,949908,+,1096
779,WOLB.0323.00014,1,1008218,1009314,+,1096
778,WOLB.0323.00023,1,657299,658547,+,1248
778,WOLB.0323.00018,1,59088,60340,+,1252
778,WOLB.0323.00010,1,1622337,1623584,-,1247
777,WOLB.0323.00023,1,455304,455845,+,541
777,WOLB.0323.00023,1,1609383,1609924,+,541
776,WOLB.0323.00023,1,309178,310285,+,1107
776,WOLB.0323.00024,1,473249,474356,-,1107
775,WOLB.0323.00023,1,302330,303035,+,705
775,WOLB.0323.00018,1,985381,986167,+,786
774,WOLB.0323.00023,1,193664,195046,+,1382
774,WOLB.0323.00093,1,229719,231102,+,1383
774,WOLB.0323.00093,1,438785,440168,-,1383
773,WOLB.0323.00023,1,189215,193552,+,4337
773,WOLB.0323.00093,1,225285,229607,+,4322
773,WOLB.0323.00093,1,440280,444602,-,4322
772,WOLB.0323.00023,1,175472,176173,+,701
772,WOLB.0323.00093,1,211572,212259,+,687
772,WOLB.0323.00093,1,458832,459518,-,686
771,WOLB.0323.00023,1,173859,174524,+,665
771,WOLB.0323.00093,1,208576,209241,+,665
771,WOLB.0323.00093,1,460470,461134,-,664
770,WOLB.0323.00023,1,69431,70051,+,620
770,WOLB.0323.00070,1,526975,527565,-,590
769,WOLB.0323.00023,1,46039,46591,+,552
769,WOLB.0323.00018,1,740804,741356,+,552
769,WOLB.0323.00128,1,816665,817232,-,567
768,WOLB.0323.00023,1,40458,42319,+,1861
768,WOLB.0323.00093,1,677635,679496,-,1861
768,WOLB.0323.00024,1,1382189,1384050,-,1861
767,WOLB.0323.00023,1,38108,40036,+,1928
767,WOLB.0323.00093,1,679917,681846,-,1929
767,WOLB.0323.00024,1,1384249,1386190,-,1941
766,WOLB.0323.00023,1,25845,26581,+,736
766,WOLB.0323.00064,1,1582552,1583294,+,742
766,WOLB.0323.00128,1,759999,760734,-,735
766,WOLB.0323.00014,1,522607,523348,-,741
765,WOLB.0323.00023,1,24136,25656,+,1520
765,WOLB.0323.00064,1,1580834,1582363,+,1529
765,WOLB.0323.00128,1,760924,762444,-,1520
765,WOLB.0323.00014,1,523538,525058,-,1520
764,WOLB.0323.00023,1,22065,23635,+,1570
764,WOLB.0323.00064,1,1578749,1580333,+,1584
764,WOLB.0323.00128,1,762945,764520,-,1575
764,WOLB.0323.00014,1,525568,527143,-,1575
763,WOLB.0323.00023,1,21049,21780,+,731
763,WOLB.0323.00023,1,144984,145715,+,731
763,WOLB.0323.00023,1,241523,242254,+,731
763,WOLB.0323.00023,1,326675,327406,-,731
763,WOLB.0323.00023,1,366244,366975,+,731
763,WOLB.0323.00023,1,449407,450138,-,731
763,WOLB.0323.00023,1,503759,504490,-,731
763,WOLB.0323.00023,1,700514,701245,-,731
763,WOLB.0323.00023,1,768949,769680,+,731
763,WOLB.0323.00023,1,893850,894581,-,731
763,WOLB.0323.00023,1,1111111,1111842,-,731
763,WOLB.0323.00023,1,1215632,1216363,-,731
763,WOLB.0323.00023,1,1357678,1358409,+,731
763,WOLB.0323.00023,1,1397215,1397946,+,731
763,WOLB.0323.00023,1,1591205,1591936,-,731
763,WOLB.0323.00023,1,1683851,1684582,+,731
763,WOLB.0323.00023,1,1700033,1700764,-,731
763,WOLB.0323.00023,1,1768056,1768787,+,731
763,WOLB.0323.00023,1,1827619,1828350,+,731
763,WOLB.0323.00093,1,14436,15167,+,731
763,WOLB.0323.00093,1,35253,35984,+,731
763,WOLB.0323.00093,1,487866,488597,+,731
763,WOLB.0323.00093,1,577564,578295,-,731
763,WOLB.0323.00093,1,651286,652017,-,731
763,WOLB.0323.00093,1,702599,703330,-,731
763,WOLB.0323.00093,1,736064,736795,+,731
763,WOLB.0323.00093,1,779868,780599,+,731
763,WOLB.0323.00093,1,884665,885396,+,731
763,WOLB.0323.00093,1,964886,965617,+,731
763,WOLB.0323.00093,1,987948,988679,+,731
763,WOLB.0323.00093,1,1067559,1068290,-,731
763,WOLB.0323.00093,1,1068976,1069707,+,731
763,WOLB.0323.00093,1,1090352,1091083,+,731
763,WOLB.0323.00093,1,1235116,1235847,+,731
763,WOLB.0323.00093,1,1259015,1259746,+,731
763,WOLB.0323.00093,1,1329929,1330648,+,719
763,WOLB.0323.00093,1,1330955,1331686,-,731
763,WOLB.0323.00093,1,1377379,1378110,-,731
763,WOLB.0323.00093,1,1393019,1393750,+,731
763,WOLB.0323.00093,1,1394057,1394788,-,731
763,WOLB.0323.00093,1,1431179,1431910,+,731
763,WOLB.0323.00093,1,1432217,1432948,-,731
763,WOLB.0323.00093,1,1452720,1453451,+,731
763,WOLB.0323.00093,1,1458832,1459563,-,731
763,WOLB.0323.00093,1,1544626,1545357,+,731
763,WOLB.0323.00024,1,546757,547488,+,731
763,WOLB.0323.00024,1,931696,932427,+,731
763,WOLB.0323.00018,1,66840,67572,+,732
763,WOLB.0323.00018,1,199159,199891,+,732
763,WOLB.0323.00018,1,466791,467523,-,732
763,WOLB.0323.00018,1,1182157,1182889,-,732
763,WOLB.0323.00018,1,1233533,1234265,+,732
763,WOLB.0323.00018,1,1286716,1287448,-,732
763,WOLB.0323.00018,1,1343547,1344279,+,732
763,WOLB.0323.00010,1,672493,673214,+,721
763,WOLB.0323.00010,1,1243833,1244597,+,764
763,WOLB.0323.00042,1,528519,529250,-,731
763,WOLB.0323.00042,1,762594,763325,-,731
763,WOLB.0323.00042,1,872242,872973,+,731
762,WOLB.0323.00023,1,17265,20151,+,2886
762,WOLB.0323.00064,1,1575536,1578422,+,2886
762,WOLB.0323.00128,1,764847,767733,-,2886
762,WOLB.0323.00014,1,527467,530353,-,2886
761,WOLB.0323.00023,1,15614,16287,+,673
761,WOLB.0323.00023,1,140225,140898,+,673
761,WOLB.0323.00023,1,160573,161247,-,674
761,WOLB.0323.00023,1,255196,255871,-,675
761,WOLB.0323.00023,1,291725,292398,+,673
761,WOLB.0323.00023,1,295238,295911,+,673
761,WOLB.0323.00023,1,350123,350796,+,673
761,WOLB.0323.00023,1,402287,402963,-,676
761,WOLB.0323.00023,1,406282,406956,-,674
761,WOLB.0323.00023,1,418156,418829,-,673
761,WOLB.0323.00023,1,431669,432342,+,673
761,WOLB.0323.00023,1,500379,501052,+,673
761,WOLB.0323.00023,1,506055,506729,-,674
761,WOLB.0323.00023,1,612484,613158,-,674
761,WOLB.0323.00023,1,653171,653845,-,674
761,WOLB.0323.00023,1,692892,693565,+,673
761,WOLB.0323.00023,1,745817,746490,+,673
761,WOLB.0323.00023,1,786921,787595,+,674
761,WOLB.0323.00023,1,817078,817752,-,674
761,WOLB.0323.00023,1,1050641,1051317,-,676
761,WOLB.0323.00023,1,1051653,1052326,+,673
761,WOLB.0323.00023,1,1143933,1144606,-,673
761,WOLB.0323.00023,1,1415810,1416484,-,674
761,WOLB.0323.00023,1,1417313,1417986,+,673
761,WOLB.0323.00023,1,1446804,1447479,+,675
761,WOLB.0323.00023,1,1478890,1479563,+,673
761,WOLB.0323.00023,1,1497800,1498472,+,672
761,WOLB.0323.00023,1,1545968,1546642,-,674
761,WOLB.0323.00023,1,1637591,1638265,-,674
761,WOLB.0323.00023,1,1693789,1694466,-,677
761,WOLB.0323.00023,1,1695941,1696603,+,662
761,WOLB.0323.00023,1,1706867,1707541,-,674
761,WOLB.0323.00023,1,1708357,1709031,-,674
761,WOLB.0323.00023,1,1709844,1710536,-,692
761,WOLB.0323.00023,1,1715333,1716006,+,673
761,WOLB.0323.00023,1,1745684,1746357,-,673
