gembase_name	orig_name	to_annotate	gsize	nb_conts	L90
WOLB.0323.00038	Wolbachia/tmp_files/GCF_017896325.1_ASM1789632v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_017896325.1_ASM1789632v1_genomic.fna_prepare-split5N.fna	1267783	1	1
WOLB.0323.00039	Wolbachia/tmp_files/GCF_018141665.1_ASM1814166v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_018141665.1_ASM1814166v1_genomic.fna_prepare-split5N.fna	1339720	1	1
WOLB.0323.00040	Wolbachia/tmp_files/GCF_947251565.1_ilPheGnom1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251565.1_ilPheGnom1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1353731	1	1
WOLB.0323.00041	Wolbachia/tmp_files/GCF_013458815.1_ASM1345881v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_013458815.1_ASM1345881v1_genomic.fna_prepare-split5N.fna	1656288	1	1
WOLB.0323.00042	Wolbachia/tmp_files/GCF_947250535.1_ilEupAuri1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250535.1_ilEupAuri1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1802477	1	1
WOLB.0323.00043	Wolbachia/tmp_files/GCF_947251735.1_ilEndFlam1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251735.1_ilEndFlam1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	1747616	1	1
WOLB.0323.00044	Wolbachia/tmp_files/GCF_947251575.1_ilYpoPlub1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251575.1_ilYpoPlub1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1418562	1	1
WOLB.0323.00045	Wolbachia/tmp_files/GCF_009732755.1_ASM973275v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_009732755.1_ASM973275v1_genomic.fna_prepare-split5N.fna	1352354	1	1
WOLB.0323.00046	Wolbachia/tmp_files/GCF_018467115.1_ASM1846711v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_018467115.1_ASM1846711v1_genomic.fna_prepare-split5N.fna	1394392	1	1
WOLB.0323.00047	Wolbachia/tmp_files/GCF_947250625.1_idCheSoro1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250625.1_idCheSoro1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1368130	1	1
WOLB.0323.00048	Wolbachia/tmp_files/GCF_947251795.1_iyAnoNige1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251795.1_iyAnoNige1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1345805	1	1
WOLB.0323.00049	Wolbachia/tmp_files/GCF_947251935.1_ilCalPalu1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251935.1_ilCalPalu1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1594315	1	1
WOLB.0323.00050	Wolbachia/tmp_files/GCF_947251615.1_icApoCory1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251615.1_icApoCory1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1535196	1	1
WOLB.0323.00051	Wolbachia/tmp_files/GCF_017896345.1_ASM1789634v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_017896345.1_ASM1789634v1_genomic.fna_prepare-split5N.fna	1267783	1	1
WOLB.0323.00052	Wolbachia/tmp_files/GCF_021378375.1_ASM2137837v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_021378375.1_ASM2137837v1_genomic.fna_prepare-split5N.fna	1290587	1	1
WOLB.0323.00053	Wolbachia/tmp_files/GCF_947250685.1_iySphMoni1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250685.1_iySphMoni1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1359653	1	1
WOLB.0323.00054	Wolbachia/tmp_files/GCF_017869285.1_ASM1786928v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_017869285.1_ASM1786928v1_genomic.fna_prepare-split5N.fna	1278697	1	1
WOLB.0323.00055	Wolbachia/tmp_files/GCF_947250795.1_iyNomFabr1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250795.1_iyNomFabr1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1438975	1	1
WOLB.0323.00056	Wolbachia/tmp_files/GCF_947250605.1_ilPyrMalv3.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250605.1_ilPyrMalv3.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1544873	1	1
WOLB.0323.00057	Wolbachia/tmp_files/GCF_918697765.1_Wolbachia_Phyllotreta_cruciferaeV1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_918697765.1_Wolbachia_Phyllotreta_cruciferaeV1_genomic.fna_prepare-split5N.fna	1795892	1	1
WOLB.0323.00058	Wolbachia/tmp_files/GCF_021496215.1_ASM2149621v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_021496215.1_ASM2149621v1_genomic.fna_prepare-split5N.fna	1267784	1	1
WOLB.0323.00059	Wolbachia/tmp_files/GCF_025021925.1_ASM2502192v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_025021925.1_ASM2502192v1_genomic.fna_prepare-split5N.fna	553558	1	1
WOLB.0323.00060	Wolbachia/tmp_files/GCF_025617515.1_ASM2561751v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_025617515.1_ASM2561751v1_genomic.fna_prepare-split5N.fna	1728764	1	1
WOLB.0323.00061	Wolbachia/tmp_files/GCF_016584375.1_ASM1658437v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_016584375.1_ASM1658437v1_genomic.fna_prepare-split5N.fna	1246905	1	1
WOLB.0323.00062	Wolbachia/tmp_files/GCF_016584325.1_ASM1658432v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_016584325.1_ASM1658432v1_genomic.fna_prepare-split5N.fna	1330657	1	1
WOLB.0323.00063	Wolbachia/tmp_files/GCF_947251425.1_idProAzur1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251425.1_idProAzur1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1434285	1	1
WOLB.0323.00064	Wolbachia/tmp_files/GCF_947250475.1_ilApoBetu1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250475.1_ilApoBetu1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1635810	1	1
WOLB.0323.00065	Wolbachia/tmp_files/GCF_021496195.1_ASM2149619v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_021496195.1_ASM2149619v1_genomic.fna_prepare-split5N.fna	1267786	1	1
WOLB.0323.00066	Wolbachia/tmp_files/GCF_017604245.1_ASM1760424v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_017604245.1_ASM1760424v1_genomic.fna_prepare-split5N.fna	1538351	1	1
WOLB.0323.00067	Wolbachia/tmp_files/GCF_947250765.1_idGymRotn1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250765.1_idGymRotn1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1431527	1	1
WOLB.0323.00068	Wolbachia/tmp_files/GCF_947250525.1_ilColCroc2.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250525.1_ilColCroc2.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1396841	1	1
WOLB.0323.00069	Wolbachia/tmp_files/GCF_947251635.1_ihIcePurc2.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251635.1_ihIcePurc2.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1372034	1	1
WOLB.0323.00070	Wolbachia/tmp_files/GCF_947250755.1_ilAgrStra1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250755.1_ilAgrStra1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1856316	1	1
WOLB.0323.00071	Wolbachia/tmp_files/GCF_001931755.2_ASM193175v2_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_001931755.2_ASM193175v2_genomic.fna_prepare-split5N.fna	1801626	1	1
WOLB.0323.00072	Wolbachia/tmp_files/GCF_016584355.1_ASM1658435v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_016584355.1_ASM1658435v1_genomic.fna_prepare-split5N.fna	1330657	1	1
WOLB.0323.00073	Wolbachia/tmp_files/GCF_007972745.1_ASM797274v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_007972745.1_ASM797274v1_genomic.fna_prepare-split5N.fna	1267436	1	1
WOLB.0323.00074	Wolbachia/tmp_files/GCF_019355355.1_ASM1935535v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_019355355.1_ASM1935535v1_genomic.fna_prepare-split5N.fna	1528786	1	1
WOLB.0323.00075	Wolbachia/tmp_files/GCF_006542295.1_ASM654229v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_006542295.1_ASM654229v1_genomic.fna_prepare-split5N.fna	1449344	1	1
WOLB.0323.00076	Wolbachia/tmp_files/GCF_947251945.1_iyLasLatv2.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251945.1_iyLasLatv2.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1306351	1	1
WOLB.0323.00077	Wolbachia/tmp_files/GCF_947251685.1_iyAndDors1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251685.1_iyAndDors1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	1533661	1	1
WOLB.0323.00078	Wolbachia/tmp_files/GCF_000376605.1_ASM37660v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_000376605.1_ASM37660v1_genomic.fna_prepare-split5N.fna	1295804	1	1
WOLB.0323.00079	Wolbachia/tmp_files/GCF_026015925.1_ASM2601592v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_026015925.1_ASM2601592v1_genomic.fna_prepare-split5N.fna	1308415	1	1
WOLB.0323.00080	Wolbachia/tmp_files/GCF_947250775.1_icRhiConi1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250775.1_icRhiConi1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1703908	1	1
WOLB.0323.00081	Wolbachia/tmp_files/GCF_000008385.1_ASM838v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_000008385.1_ASM838v1_genomic.fna_prepare-split5N.fna	1080084	1	1
WOLB.0323.00082	Wolbachia/tmp_files/GCF_947250565.1_iyAndHaem1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250565.1_iyAndHaem1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1494005	1	1
WOLB.0323.00083	Wolbachia/tmp_files/GCF_021496175.1_ASM2149617v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_021496175.1_ASM2149617v1_genomic.fna_prepare-split5N.fna	1267786	1	1
WOLB.0323.00084	Wolbachia/tmp_files/GCF_947251535.1_ilPhaBuce1.Wolbachia_sp_3.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251535.1_ilPhaBuce1.Wolbachia_sp_3.1_genomic.fna_prepare-split5N.fna	1462992	1	1
WOLB.0323.00085	Wolbachia/tmp_files/GCF_012030695.1_ASM1203069v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_012030695.1_ASM1203069v1_genomic.fna_prepare-split5N.fna	1072967	1	1
WOLB.0323.00086	Wolbachia/tmp_files/GCF_000008025.1_ASM802v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_000008025.1_ASM802v1_genomic.fna_prepare-split5N.fna	1267782	1	1
WOLB.0323.00087	Wolbachia/tmp_files/GCF_947251705.1_iyLasMori1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251705.1_iyLasMori1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	1270693	1	1
WOLB.0323.00088	Wolbachia/tmp_files/GCF_947251805.1_ilCelArgi3.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251805.1_ilCelArgi3.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1329046	1	1
WOLB.0323.00089	Wolbachia/tmp_files/GCF_947250665.1_idVolInfl1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250665.1_idVolInfl1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1502844	1	1
WOLB.0323.00090	Wolbachia/tmp_files/GCF_947250465.1_ilPolCalb1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250465.1_ilPolCalb1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	1236246	1	1
WOLB.0323.00091	Wolbachia/tmp_files/GCF_947251665.1_iyTryClav1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251665.1_iyTryClav1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1287268	1	1
WOLB.0323.00092	Wolbachia/tmp_files/GCF_947251595.1_ilEupTrip1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251595.1_ilEupTrip1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1478719	1	1
WOLB.0323.00093	Wolbachia/tmp_files/GCF_947251815.1_iqChoPara1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251815.1_iqChoPara1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1748465	1	1
WOLB.0323.00094	Wolbachia/tmp_files/GCF_947251435.1_idEpiGros1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251435.1_idEpiGros1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	1367569	1	1
WOLB.0323.00095	Wolbachia/tmp_files/GCF_947250015.1_idAcrOrbc1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250015.1_idAcrOrbc1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1383045	1	1
WOLB.0323.00096	Wolbachia/tmp_files/GCF_019355235.1_ASM1935523v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_019355235.1_ASM1935523v1_genomic.fna_prepare-split5N.fna	1515037	1	1
WOLB.0323.00097	Wolbachia/tmp_files/GCF_947250495.1_iyLasMori1.Wolbachia_sp_3.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250495.1_iyLasMori1.Wolbachia_sp_3.1_genomic.fna_prepare-split5N.fna	1284394	1	1
WOLB.0323.00098	Wolbachia/tmp_files/GCF_947251955.1_idCorMarg1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251955.1_idCorMarg1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1387347	1	1
WOLB.0323.00099	Wolbachia/tmp_files/GCF_018690095.1_ASM1869009v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_018690095.1_ASM1869009v1_genomic.fna_prepare-split5N.fna	1268455	1	1
WOLB.0323.00100	Wolbachia/tmp_files/GCF_947250655.1_ilWatBina1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947250655.1_ilWatBina1.Wolbachia_sp_1.1_genomic.fna_prepare-split5N.fna	1651335	1	1
WOLB.0323.00101	Wolbachia/tmp_files/GCF_947251775.1_ilEpaGrot1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_947251775.1_ilEpaGrot1.Wolbachia_sp_2.1_genomic.fna_prepare-split5N.fna	1781589	1	1
WOLB.0323.00102	Wolbachia/tmp_files/GCF_018467135.1_ASM1846713v1_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_018467135.1_ASM1846713v1_genomic.fna_prepare-split5N.fna	1409094	1	1
WOLB.0323.00103	Wolbachia/tmp_files/GCF_002374845.2_ASM237484v2_genomic.fna_prepare-split5N.fna	Wolbachia/tmp_files/GCF_002374845.2_ASM237484v2_genomic.fna_prepare-split5N.fna	1483853	1	1
